Index,Original_Text,Option 1,Option 2,Original Mean Score,Flipped Mean Score
0,"anxiety affects quality of life in those living with parkinson 's disease ( pd ) more so than overall cognitive status , motor deficits , apathy , and depression [ 13 ] . although anxiety and depression are often related and coexist in pd patients , recent research suggests that anxiety rather than depression is the most prominent and prevalent mood disorder in pd [ 5 , 6 ] . yet ,
our current understanding of anxiety and its impact on cognition in pd , as well as its neural basis and best treatment practices , remains meager and lags far behind that of depression . overall , neuropsychiatric symptoms in pd have been shown to be negatively associated with cognitive performance . for example , higher depression scores have been correlated with lower scores on the mini - mental state exam ( mmse )",", anxiety is associated with cognitive in d   the effects of anxiety on cogn have been  for  long  in the ofp  patients. this was the first to examine the relationship anxiety cogn inp patients with and without anxiety  this is the  first of its  type  to the in of ofd with anxiety. thes of the study, a of  of patients  withd anxiety, and anxiety ind,","The present study is the first to examine the relationship between anxiety and cognitive in pd, and the results suggest that anxiety is associated with impairment in processing and memory, particularly in the frontal and omatic regions of the brain. a - test was used to assess attention and recall in patients with d (p ) and to the extent that the m- s test (m) was performed to determine the level of anxiety on the test, ",2.0,2.0
1,"small non - coding rnas are transcribed into mrna but remain untranslated in eukaryotic cells . they include sirna ( small interfering rna ) , mirna ( microrna ) , pirna ( piwi - interacting rna ) and snorna ( small nucleolar rna ) . mirnas are a class of multifunctional singled - stranded small rna which are ~20  nt in length and regulate the stability or translational efficiency of targeted messenger rna depending on the base - pairing complementarity between the mirna and its target mrna [ 1 , 2 ] . although over 1,000 mirna sequences have been identified from the tissues or cells of human origin and other species , as many as 1,000 to 10,000 mirnas per genome have been predicted [ 3 , 4 ] . mirnas regulate a broad range of biological processes including timing of development , cell cycle progression , stem cell self - renewal , differentiation , cancer initiation , cancer cell proliferation , metastasis and apoptosis [ 511 ] .","miras regulate the cell cycle, tumor and proliferation, and tumors. the expression mirna in maary gland isregulated the the 2  phase, theg-  transition, proliferation and invasion. nn  is  key in the of tumori in breast   mir-a is inregulated  the cycle and popis in mm gland  we the mir a expression inmary tumor  ino",", the expression of mira in breast cells has been reported in a variety of cancers, including breast - like tumors and cancer cells, and the regulation of nas in cancer is of importance in the genesis and progression of breasts. m- s- and t- cells have been shown to regulate the cell cycle and cell differentiation, ea andaa, in and in, mir-a expression in cells and cells",1.6,1.4
2,"ohss is a serious complication of ovulation induction , occurring in 1 - 10% of in vitro fertilization patients  ( rizk and aboulghar , 1991 ; brinsden et al . , 1995 ) . this iatrogenic condition has a spectrum of clinical and laboratory manifestations ranging from mild to severe , even life - threatening conditions  ( rizk et al . , 1990 ) . among the serious manifestations of ohss are ascites and pleural effusion  ( rizk and smitz , 1992 ) . vascular endothelial growth factor has emerged as one of the factors most likely involved in the pathophysiology of ohss  ( geva and jaffe , 2000 ; rizk and aboulghar , 2010 ) . vascular endothelial growth factor is an angiogenic cytokine that is a potent stimulator of the vascular endothelium and appears to play an integral role in follicular growth , corpus luteum function and ovarian angiogenesis  ( rizk et al . , 1997 ) ."," hs is  common in women, and the ofoss can be  serious. pig catheter has been used in the management severe/ critical s in patients who underooation and transfer  this was  retrospective  we the  of of patients with severeh  ands  in patient  our is the first of  series  to evaluate effacy and of the in of management of severesh in inpatient","The aim of this study was to evaluate the efficacy and safety of pig catheter in the management of severe oss in patients who underwent vitr fertilization and a - s, and the of the t e i n r d c. the use of endohelial growth factor has been proposed as the most important in management the patients with severe and critical hs have been described, the in of of",1.8,1.0
3,"congenital adrenal hyperplasia ( cah ) refers to a group of autosomal recessive disorders caused by an enzyme deficiency which leads to defects in biosynthesis of steroid precursors . depending on the severity and degree of 21 hydroxylase deficiency , the clinical spectrum may vary from mild form of non classical cah to classic cah . however , the non classical cah variant is more common with a prevalence rate of 1 in 1000 . it also helps in maintaining normal levels of precursors by suppressing adreno cortico trophic hormone ( acth ) . during childhood
, the management is largely focused on achieving normal growth and attaining appropriate final adult height .","cah is  rare with  prevalence of 1 in 1000  the of do  s (ds )  in  population of india.  ca isa syndrome  of adrenal and roid  and is common in of of population in south  india  we present  case of classic ca  withadarch of 3  week of life. in this  report, we report a of patient with classich  presented","The present study was conducted on group of patients with nonital hyperlasi (h ) who presented in adulthood with complaints of irregular cycles andhiruism, and the patients were evaluated and treated with hydrotone ( h). the op levels were determined in patients who were in the late aoescent period and were ed with ds and ss ; the levels of p ands were measured in all patients and",2.0,1.0
4,"type 1 diabetes ( t1d ) results from the destruction of insulin producing pancreatic  cells by a  cell specific autoimmune process ( 1 ) . chronic pancreatic inflammation ( insulitis ) and destruction of islet -cells in type 1 diabetes
is mediated by the immune cells , particularly autoreactive cd4 and cd8 t lymphocytes , b cells , macrophages and dendritic cells ( 2 ) . in order to obtain insight into type 1 diabetes pathogenic mechanisms in humans and to test novel therapeutic approaches for its treatment , different preclinical models of the disease such as spontaneous and accelerated diabetes in the non - obese diabetic ( nod ) mice ,
biobreeding rats , or diabetes induced in susceptible rodent strains by multiple low doses of streptozotocin ( mlds ) are now available ( 3 ) . in the pathogenesis of t1d , several proinflamma - tory cytokines including ifn -  , tnf- , il-1 , as well as il-17 ( 4 - 6 ) , have been implicated . it is also thought that the production of anti - inflammatory cytokines such as il-4 , il-10 and tgf- correlates with protection from t1d ( 6 ) ."," to the of  t  diabetes, pifyline (px)  has been used as  therapeutic forautoimmune  diseases. penifylline  is  anti- inflammatory and immunospressive  and a  potential for  treatment type 1 diabetes. to the  of ofp x  in 1  disease,pt is used  asa in therapy type1 diabetes in mice.tt","The present study was conducted to determine the effect of xifyl on the development of type diabetes in mice, and the sple cells were incubated in the absence or presence ofcanvalina (a) in a 96- well flat- bottom culture (p ) for 72 r. ts was ed to the plate, m l (m) and p ( -) were d ina of",1.2,1.0
5,"determinar a presena de anticorpos ige especficos para superantgenos estafiloccicos e o grau de sensibilizao mediada por esses , assim como se esses esto associados  gravidade da asma em pacientes adultos . estudo transversal incluindo asmticos adultos em acompanhamento ambulatorial em um hospital universitrio tercirio no rio de janeiro ( rj ) . os pacientes foram alocados consecutivamente em dois grupos de gravidade da asma segundo critrios da global initiative for asthma : asma leve ( al ) , com asmticos leves intermitentes ou persistentes , e asma moderada ou grave ( amg ) . foram determinados os nveis sricos de anticorpos ige antitoxinas estafiloccicas , e os resultados foram comparados por anlise estatstica . foram includos 142 pacientes no estudo : 72 no grupo al ( mediana de idade = 46 anos ; 59 do sexo feminino )"," stalococcal x- specificige antibodies have been associated the severity asthma   the of asthma in a topic dermas (ad )  and asthma.  ina study, phyocca tox -specificiges in asthma werecorrelated severity severity the  of ds and ss  patients. in the present  we the thes ofasma andsa patients  with asthma,",", the present was a cross- sectional study, in which the patients with mild asthma were defined as those requiring only medication, low- dose inha corooids, e ss, and ts. the results of the study were the following: the - os of ms andsas in the of ofa ia andaa in na,ao,oo ando in ina",1.4,1.0
6,"the family is the cornerstone of human social support network and its presence is essential in everyone s life . changes inevitably occur in families with illness and hospitalization of a family member . in other words , among the sources of stress for families are accidents leading to hospitalization particularly intensive care unit ( icu ) . statistics show that 8% of hospital beds in the united states are occupied by the intensive care units . stress in the family while the patient is in the icu can disrupt the harmony power of the family members and finally , it may causes disturbances in the support of the patient ."," the of of  study the family satisfaction in the neuroger intensive unit al-zar  hospital  isahan,  ran. this was the first to the the families the satisfaction of the patients in cu. the results  showed that the  of families satisfaction the ini unit  increased the level satisfaction  and the after the intervention  was significantly the than the before the and control  group. results, the mean satisfaction after after intervention significantly higher the","the results of this study showed that the families of the patients in the neurogery intensive unit of al-zara ( ) were in a position to provide the necessary for the satisfaction of patients and the s of their ins and outs. the study was conducted with the aim to determine the effectiveness of interventions based on the needs of families in intensive units, the of of - i and e ts, d and in",1.6,1.0
7,"development of human societies and industrialization as well as changes in stress sources has changed disease pattern in civilized societies . as a result , the disease pattern has changed from traditional diseases such as infectious diseases and malnutrition to diseases such as heart disease , diabetes , accidents and so forth . among them
coronary artery disease is the most cardiovascular disorder as a health problem in developing and developed countries . in fact , this is not only a chronic disease associated with high mortality , but it causes limitations in life and disability in a large part of the productive forces of the country . it is also associated with reduced production and increased medical costs [ 3 - 5 ] .",", the of anxiety and depression in coronary bypass is  common in   patients. in fact, communication is an important in the management of patients anxiety depression. the results the the  of the study  showed  significant the in of depression the patients the intervention  and the control  group. this  is to the effect peu's communication on anxiety in patients who coronar  bypass  ina  clinical  study. results  the","the present study was conducted to determine the effect of peu's therapeutic communication on anxiety and depression in patients who were candidates for coronar artery surgery, the results showed that the level of anxiety in the group of patients was decreased compared to the control group, and the result of the s of a - t- and d- in group. in fact, this was the first study to evaluate the effects ofplau'therapeutic on depression and",2.0,2.0
8,"sixty - four patients in nepal that met us department of defense enrollment criteria ( 9 ) for influenzalike illness were evaluated by using onsite rapid influenza tests ( optical immunoassay rapid diagnostic tests , thermo electron corp . throat swab specimens were collected within the first 72 hours of onset of symptoms , routed through the armed forces research institute for medical sciences in bangkok , thailand , and shipped on dry ice to brooks city base in san antonio , texas , for clinical characterization and diagnosis using traditional culturing techniques and monoclonal antibody staining ( 10 ) . antigenic analysis of select isolates was performed at the centers for disease control and prevention ( cdc ) in atlanta , georgia , by using the hemagglutination inhibition ( hi ) assay and postinfection ferret antisera ( 11 ) . rna was extracted from 48-hour shell vial cultures ( 10 ) by using the magnapure lx ( roche molecular , mannheim , germany ) and rna isolation kit ii ( roche molecular ) according to the manufacturer 's protocols . for reverse transcription - polymerase chain reaction ( rt - pcr ) amplification ,
5 l rna was added to a 50-l master mixture containing 1 reaction buffer , 1.6 mmol / l mgso4 , 1 enzyme mixture , and 400 nmol / l primers ( h3-f7 , 5-act - atc - att - gct - ttg - agc-3  and h3r-1184 , 5-atg - gct - gct - tga - gtg - ctt-3  ) by using the superscript iii one - step rt - pcr system ( invitrogen , carlsbad , ca , usa ) .","e a   is  type of influenza  and the 3n2 isatype  the of eaa and yas  inepal. npala is the type  of virus  that infects humans, animals, birds, and animals. thes is anagen ofa3a in pal  this  has been  for  years  but not in inpals","The npals were isolated from the epal, a region in the south of the country, and were evaluated by using s - c r t m  and d l. pr was used to analyze the nuoide sequences and the sequence of ots,st,tt andt-ss in iaa ands-tas ( ) and ina ",1.6,1.0
9,"rising levels of obesity are becoming a worldwide phenomenon and are increasingly identified as a health problem across the globe [ 14 ] . higher weight has been associated with adverse health indicators and outcomes , including cardiovascular disease [ 512 ] , stroke [ 5 , 13 ] , cognitive and functional decline [ 1418 ] , metabolic syndrome [ 19 , 20 ] , inflammation [ 21 , 22 ] , and mortality [ 20 , 2325 ] . obesity among aging populations is relatively recent and aging among people who have been obese for much of their lives is also a new phenomenon . from 1980 to 2004 , the prevalence of obesity in the us has continued to rise from about 17% to 25% for men aged 5059 . while obesity in england has also increased during this period , from approximately 9% in 1980 to 15% in 2004 for men aged 5564 , the level of obesity remains much lower in england .","the ofbi and circum is  measure of dpos in  population with different of of and  factors   we the relationship obesity and bioers in three aging  populations. m  andc  are indicators of physiological regulation, and the is of importance to the and of health and in the ai population. this compares obesity to bio markers intawan,engand, l,","the present study was conducted to determine the prevalence of obesity in the us and land, and the association between obesity and risk in a group of individuals who are overweight and obese, the use of antitensives, sm - m ( bm) and waist circum (bi ) inas of the tawan population, which is population of people aged 54 and older. we use the data from the survey of ",2.0,2.0
